<TICKER>,<DATE>,<CLOSE>
TATN,26/07/08,144.01
TATN,29/07/08,137.24
TATN,30/07/08,138.25
TATN,31/07/08,141.4
TATN,01/08/08,140.15
TATN,02/08/08,138.5
TATN,05/08/08,137.33
TATN,06/08/08,128.57
TATN,07/08/08,129.99
TATN,08/08/08,136.69
TATN,09/08/08,131.35
TATN,12/08/08,135.61
TATN,13/08/08,139.27
TATN,14/08/08,137.5
TATN,15/08/08,138.2
TATN,16/08/08,143.0
TATN,19/08/08,145.72
TATN,20/08/08,133.99
TATN,21/08/08,133.0
TATN,22/08/08,135.27
TATN,23/08/08,135.09
TATN,26/08/08,126.85
TATN,27/08/08,125.79
TATN,28/08/08,122.3
TATN,29/08/08,127.5
TATN,30/08/08,129.0
TATN,02/09/08,128.39
TATN,03/09/08,126.13
TATN,04/09/08,123.2
TATN,05/09/08,117.81
TATN,06/09/08,114.0
TATN,09/09/08,117.62
TATN,10/09/08,104.0
TATN,11/09/08,104.0
TATN,12/09/08,102.0
TATN,13/09/08,106.9
TATN,16/09/08,96.45
TATN,17/09/08,83.01
TATN,18/09/08,71.99
TATN,20/09/08,100.02
TATN,23/09/08,108.0
TATN,24/09/08,99.7
TATN,25/09/08,103.7
TATN,26/09/08,102.9
TATN,27/09/08,104.5
TATN,30/09/08,98.0
TATN,01/10/08,90.45
TATN,02/10/08,88.5
TATN,03/10/08,83.0
TATN,04/10/08,78.0
TATN,07/10/08,65.37
TATN,08/10/08,63.2
TATN,09/10/08,57.9
TATN,10/10/08,57.1
TATN,14/10/08,52.2
TATN,15/10/08,53.2
TATN,16/10/08,47.11
TATN,17/10/08,37.71
TATN,18/10/08,32.61
TATN,21/10/08,33.8
TATN,22/10/08,37.3
TATN,23/10/08,34.4
TATN,24/10/08,33.68
TATN,25/10/08,27.94
TATN,29/10/08,27.5
TATN,30/10/08,33.5
TATN,31/10/08,40.74
TATN,02/11/08,53.48
TATN,07/11/08,50.61
TATN,08/11/08,54.2
TATN,11/11/08,57.8
TATN,12/11/08,51.0
TATN,14/11/08,43.0
TATN,15/11/08,46.0
TATN,18/11/08,44.0
TATN,19/11/08,46.96
TATN,20/11/08,42.64
TATN,21/11/08,37.68
TATN,22/11/08,37.16
TATN,25/11/08,43.85
TATN,26/11/08,43.0
TATN,27/11/08,43.3
TATN,28/11/08,47.47
TATN,29/11/08,46.2
TATN,02/12/08,42.0
TATN,03/12/08,47.21
TATN,04/12/08,50.8
TATN,05/12/08,48.0
TATN,06/12/08,45.2
TATN,09/12/08,51.98
TATN,10/12/08,51.06
TATN,11/12/08,54.81
TATN,12/12/08,55.18
TATN,13/12/08,52.2
TATN,16/12/08,58.5
TATN,17/12/08,60.38
